,Drug1_ID,Drug1_SMILES
0,DB00706,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
1,DB01023,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
2,3849.0,C[C@@H](Oc1ccc2[nH]nc(/C=C/c3cnn(CCO)c3)c2c1)c1c(Cl)cncc1Cl
3,3515.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(I)cc1
4,6380.0,O=P(O)(O)OCCCc1c[nH]c2ccccc12
5,8290.0,N[C@@H](c1ccccc1)c1ccc(-c2ncnc3[nH]cnc23)cc1
6,7947.0,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
7,3010.0,CNCCc1ccccn1
8,DB00802,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
9,DB00872,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
10,DB00912,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
11,DB01238,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
12,DB00601,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
13,DB01104,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
14,4992.0,NCCCCCCCNC(N)N
15,3154.0,COc1c(C)cnc(Cn2cnc3c(Cl)[nH]c(=N)nc32)c1C
16,9398.0,O=S(CC(O)=NC/C=C\COc1cc(CN2CCCCC2)ccn1)Cc1ccco1
17,3816.0,CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O
18,6771.0,O=CC[C@@H](O)[C@H](O)[C@H](O)CO
19,7164.0,NCCCC[C@H](N=C(O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)N=C(O)N1CCC(N2Cc3ccccc3N=C2O)CC1)C(=O)N1CCN(c2ccncc2)CC1
20,DB00370,CN1CCN2c3ncccc3Cc3ccccc3C2C1
21,DB08881,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
22,DB06603,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(O)=NO)cc1
23,DB08899,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
24,2724.0,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21
25,5305.0,N[C@H]1[C@H](O)O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1O
26,DB00780,NNCCc1ccccc1
27,DB01015,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
28,DB00861,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
29,DB01418,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
30,DB00477,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
31,DB00956,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314
32,DB08794,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O
33,DB09123,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N
34,4155.0,C/C=C/C=O
35,1293.0,Cc1ncc([N+](=O)[O-])n1CCNS(N)(=O)=O
36,5931.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
37,5819.0,O=C(O)CO/N=C1\C2=CC=CCC2=N\C1=C1/C(=O)N=C2CC=CC=C21
38,DB00484,Brc1c(NC2=NCCN2)ccc2nccnc12
39,DB01595,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
40,DB00321,CN(C)CCC=C1c2ccccc2CCc2ccccc21
41,DB01577,CN[C@@H](C)Cc1ccccc1
42,DB00193,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
43,DB00559,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
44,1856.0,C=CCn1c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc2n(CCCC)c1=O
45,5973.0,O=C1CCCCC/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1
46,DB00214,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
47,DB00263,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
48,DB00898,CCO
49,DB00909,NS(=O)(=O)Cc1noc2ccccc12
50,DB00332,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
51,DB01407,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
52,2376.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(O)cc1c2[Si](C)(C)C(C)(C)C
53,5910.0,Oc1c(Br)cc(-c2nc3ccccc3o2)cc1Br
54,3298.0,COc1cc(=O)n(C)c2c3c(ccc12)OCO3
55,9487.0,[NH3+]CCCCC(=O)O
56,4427.0,Ic1cn[nH]c1
57,3295.0,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C
58,DB00712,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
59,DB01254,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
60,DB00806,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
61,2770.0,Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21
62,3316.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
63,DB00440,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
64,DB01229,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
65,DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
66,DB00333,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
67,2374.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCCO3
68,9616.0,[Mg+2].[OH-].[OH-]
69,DB01219,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
70,791.0,CC(O)=Nc1ccc(S(=O)(=O)Cl)cc1
71,54.0,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
